TOP LEVEL,LEVEL 1,LEVEL 2,LEVEL 3,LEVEL 4,LEVEL 5,Final Recommendations -- Keep Translations Synced,Out of scope for TYS (Access ),Corp Comm Page (Out of Scope for TYS),Translated,URLs,Comments
,,,,Energy Star Lighting,,,,,,https://www.sce.com/wps/portal/home/residential/rebates-savings/rebates/lighting/!ut/p/b1/jZBRT8IwFIV_iw88Nr1du9k-lkBGp7AgQ1lflqZOrboyQqPy790IMTFRxn26Nzkn554Pa7zB2psP92yC23rz3t86qQhP5UytQMHNPYAaT5JbtSggL-JOUHYC-GckHP0iheksy0GlxZKCoktYrKSkAAl-wBpr60MbXnC5t3Vltz7UPlS1H8FpH8Hehboxba9trXvEZWyuBQHOkOCEI2YigjgBhmJmIxabiHN4Ov12Jvyibj_-vJgLUNk0yZgYRzCnQ_5jtwE6v_n8ETEEMLughXvd7bTsOPc8vwLeDIJum3XD6cGhtzt--JRX36be-ZU!/dl4/d5/L2dJQSEvUUt3QS80SmtFL1o2XzE4R0FISVMwSTBLVjAwSUJENkxJTlQwRUI1/,
,,,,A/C Installation and Maintenance,,,,,,https://www.sce.com/wps/portal/home/residential/rebates-savings/rebates/air-conditioner/!ut/p/b1/jZBRT8IwFIV_iw88Nr1du9k-lkBGp7AgQ1lflqZOrboyQqPy790IMTFRxn26Nzkn554Pa7zB2psP92yC23rz3t86qQhP5UytQMHNPYAaT5JbtSggL-JOUHYC-GckHP0iheksy0GlxZKCoktYrKSkAAl-wBpr60MbXnC5t3Vltz7UPlS1H8FpH8Hehboxba9trXvEZWyuBQHOkOCEI2YigjgBhmJmIxabiHN4Ov12Jvyibj_-vJgLUNk0yZgYRzCnQ_5jtwE6v_n8ETEEMLughXvd7bTsOPc8vwLeDIJum3XD6cGhtzt--JRX36be-ZU!/dl4/d5/L2dJQSEvUUt3QS80SmtFL1o2XzE4R0FISVMwSTBLVjAwSUJENkxJTlQwVVMw/,
,,,,Welcome to SCE,,,,,,https://www.sce.com/wps/portal/home/residential/rebates-savings/rebates/Welcome-to-SCE/!ut/p/b1/jZBRT8IwFIV_iw88Nr1du9k-lkBGp7AgQ1lflqZOrboyQqPy790IMTFRxn26Nzkn554Pa7zB2psP92yC23rz3t86qQhP5UytQMHNPYAaT5JbtSggL-JOUHYC-GckHP0iheksy0GlxZKCoktYrKSkAAl-wBpr60MbXnC5t3Vltz7UPlS1H8FpH8Hehboxba9trXvEZWyuBQHOkOCEI2YigjgBhmJmIxabiHN4Ov12Jvyibj_-vJgLUNk0yZgYRzCnQ_5jtwE6v_n8ETEEMLughXvd7bTsOPc8vwLeDIJum3XD6cGhtzt--JRX36be-ZU!/dl4/d5/L2dJQSEvUUt3QS80SmtFL1o2X0pJREExRzQySThUMUQwQUhOUjFFM0QwR0s1/,
,,,Energy Upgrade California | Make Your Home Energy Efficient,,,,,,,https://www.sce.com/wps/portal/home/residential/rebates-savings/energy-upgrade-california/!ut/p/b1/jZBRT8IwFIV_iw88Nr1du9k-lkBGp7AgQ1lflqZOrboyQqPy790IMTFRxn26Nzkn554Pa7zB2psP92yC23rz3t86qQhP5UytQMHNPYAaT5JbtSggL-JOUHYC-GckHP0iheksy0GlxZKCoktYrKSkAAl-wBpr60MbXnC5t3Vltz7UPlS1H8FpH8Hehboxba9trXvEZWyuBQHOkOCEI2YigjgBhmJmIxabiHN4Ov12Jvyibj_-vJgLUNk0yZgYRzCnQ_5jtwE6v_n8ETEEMLughXvd7bTsOPc8vwLeDIJum3XD6cGhtzt--JRX36be-ZU!/dl4/d5/L2dJQSEvUUt3QS80SmtFL1o2XzE4R0FISVMwSUdFNUEwSUIwOVQ1TDYzUDE1/,
,,,Save Power Days,,,,,,,https://www.sce.com/wps/portal/home/residential/rebates-savings/save-power-day/!ut/p/b1/jZBRT8IwFIV_iw88Nr1du9k-lkBGp7AgQ1lflqZOrboyQqPy790IMTFRxn26Nzkn554Pa7zB2psP92yC23rz3t86qQhP5UytQMHNPYAaT5JbtSggL-JOUHYC-GckHP0iheksy0GlxZKCoktYrKSkAAl-wBpr60MbXnC5t3Vltz7UPlS1H8FpH8Hehboxba9trXvEZWyuBQHOkOCEI2YigjgBhmJmIxabiHN4Ov12Jvyibj_-vJgLUNk0yZgYRzCnQ_5jtwE6v_n8ETEEMLughXvd7bTsOPc8vwLeDIJum3XD6cGhtzt--JRX36be-ZU!/dl4/d5/L2dJQSEvUUt3QS80SmtFL1o2XzE4R0FISVMwSTBISEUwSUJHQlJVNlYwRzY0/,
,,,,Save Power Days Terms and Conditions,,,,,,https://www.sce.com/wps/portal/home/residential/rebates-savings/save-power-day/tnc/!ut/p/b1/jZBRT8IwFIV_iw88Nr1du9k-lkBGp7AgQ1lflqZOrboyQqPy790IMTFRxn26Nzkn554Pa7zB2psP92yC23rz3t86qQhP5UytQMHNPYAaT5JbtSggL-JOUHYC-GckHP0iheksy0GlxZKCoktYrKSkAAl-wBpr60MbXnC5t3Vltz7UPlS1H8FpH8Hehboxba9trXvEZWyuBQHOkOCEI2YigjgBhmJmIxabiHN4Ov12Jvyibj_-vJgLUNk0yZgYRzCnQ_5jtwE6v_n8ETEEMLughXvd7bTsOPc8vwLeDIJum3XD6cGhtzt--JRX36be-ZU!/dl4/d5/L2dJQSEvUUt3QS80SmtFL1o2X0pJREExRzQySThKQTUwSU5PU0hFQVAyUTEx/,
,,,Summer Discount Plan | An Easy Way to Save,,,1,,,Y,https://www.sce.com/wps/portal/home/residential/rebates-savings/summer-discount-plan/!ut/p/b1/jZBRT8IwFIV_iw88Nr1du9k-lkBGp7AgQ1lflqZOrboyQqPy790IMTFRxn26Nzkn554Pa7zB2psP92yC23rz3t86qQhP5UytQMHNPYAaT5JbtSggL-JOUHYC-GckHP0iheksy0GlxZKCoktYrKSkAAl-wBpr60MbXnC5t3Vltz7UPlS1H8FpH8Hehboxba9trXvEZWyuBQHOkOCEI2YigjgBhmJmIxabiHN4Ov12Jvyibj_-vJgLUNk0yZgYRzCnQ_5jtwE6v_n8ETEEMLughXvd7bTsOPc8vwLeDIJum3XD6cGhtzt--JRX36be-ZU!/dl4/d5/L2dJQSEvUUt3QS80SmtFL1o2XzE4R0FISVMwSUdFNUEwSUIwOVQ1TDYzRDA1/,
,,,,Summer Discount Plan Terms and Conditions,,,,,,https://www.sce.com/wps/portal/home/residential/rebates-savings/summer-discount-plan/terms/!ut/p/b1/jZBRT8IwFIV_iw88Nr1du9k-lkBGp7AgQ1lflqZOrboyQqPy790IMTFRxn26Nzkn554Pa7zB2psP92yC23rz3t86qQhP5UytQMHNPYAaT5JbtSggL-JOUHYC-GckHP0iheksy0GlxZKCoktYrKSkAAl-wBpr60MbXnC5t3Vltz7UPlS1H8FpH8Hehboxba9trXvEZWyuBQHOkOCEI2YigjgBhmJmIxabiHN4Ov12Jvyibj_-vJgLUNk0yZgYRzCnQ_5jtwE6v_n8ETEEMLughXvd7bTsOPc8vwLeDIJum3XD6cGhtzt--JRX36be-ZU!/dl4/d5/L2dJQSEvUUt3QS80SmtFL1o2XzE4R0FISVMwSU84STYwSUJSVEcwTFFBQzM3/,
,,,,Summer Discount Plan FAQ,,,,,,https://www.sce.com/wps/portal/home/residential/rebates-savings/summer-discount-plan/FAQ/!ut/p/b1/jZBRT8IwFIV_iw88Nr1du9k-lkBGp7AgQ1lflqZOrboyQqPy790IMTFRxn26Nzkn554Pa7zB2psP92yC23rz3t86qQhP5UytQMHNPYAaT5JbtSggL-JOUHYC-GckHP0iheksy0GlxZKCoktYrKSkAAl-wBpr60MbXnC5t3Vltz7UPlS1H8FpH8Hehboxba9trXvEZWyuBQHOkOCEI2YigjgBhmJmIxabiHN4Ov12Jvyibj_-vJgLUNk0yZgYRzCnQ_5jtwE6v_n8ETEEMLughXvd7bTsOPc8vwLeDIJum3XD6cGhtzt--JRX36be-ZU!/dl4/d5/L2dJQSEvUUt3QS80SmtFL1o2XzE4R0FISVMwSTBESUQwSUJGUzlNNVMyR1U2/,
,,,Multi-Family Energy Efficiency Rebate,,,,,,,https://www.sce.com/wps/portal/home/residential/rebates-savings/multifamily-rebate-program/!ut/p/b1/jZBRT8IwFIV_iw88Nr1du9k-lkBGp7AgQ1lflqZOrboyQqPy790IMTFRxn26Nzkn554Pa7zB2psP92yC23rz3t86qQhP5UytQMHNPYAaT5JbtSggL-JOUHYC-GckHP0iheksy0GlxZKCoktYrKSkAAl-wBpr60MbXnC5t3Vltz7UPlS1H8FpH8Hehboxba9trXvEZWyuBQHOkOCEI2YigjgBhmJmIxabiHN4Ov12Jvyibj_-vJgLUNk0yZgYRzCnQ_5jtwE6v_n8ETEEMLughXvd7bTsOPc8vwLeDIJum3XD6cGhtzt--JRX36be-ZU!/dl4/d5/L2dJQSEvUUt3QS80SmtFL1o2XzE4R0FISVMwSThLMzQwSUI0RVRPQzJHS0ww/,
